,Restaurant#,Restaurant Name,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,price
4144,RESTPUNE4145,RN Cafe," Kondhwa, Pune",3.2,7,0.0,9,300
4145,RESTPUNE4146,The Indian Foodie," Dhanori, Pune",3.2,7,0.0,0,250
4146,RESTPUNE4147,Rollingway," Wadgaon Sheri, Pune",3.2,7,3.9,17,400
4147,RESTPUNE4148,Divine Foods," Ravet, Pune",3.2,7,0.0,0,250
4148,RESTPUNE4149,Kakke Da Paratha," Wakad, Pune",3.2,7,3.7,1817,350
4149,RESTPUNE4150,Hotel Rajgad," Hadapsar, Pune",3.1,7,3.9,33,1000
4150,RESTPUNE4151,Sangrila Chinese," Vishrantwadi, Pune",3.1,7,3.4,29,300
4151,RESTPUNE4152,Sanskruti," Sinhgad Road, Pune",3.1,7,0.0,0,500
4152,RESTPUNE4153,Hotel Dhanshree," Dehu Road, Pune",3.1,7,0.0,0,700
4153,RESTPUNE4154,Bistro Cafe," Senapati Bapat Road, Pune",3.1,7,0.0,2,400
4154,RESTPUNE4155,Ruhe Organic Cafe," Kalyani Nagar, Pune",3.1,7,0.0,8,700
4155,RESTPUNE4156,Chef's Kitchen," Chinchwad, Pune",3.1,7,3.8,51,400
4156,RESTPUNE4157,Vrindavan Pure Veg," Pimpri, Pune",3.1,7,3.8,63,400
4157,RESTPUNE4158,Hot Pi," Karve Nagar, Pune",3.1,7,0.0,3,400
4158,RESTPUNE4159,Sai Cafe Katta," Satara Road, Pune",3.1,7,0.0,8,400
4159,RESTPUNE4160,Anna's Biryani," Pune-Solapur Road, Pune",3.1,7,0.0,0,250
4160,RESTPUNE4161,Leaf Restaurant," Chandan Nagar, Pune",3.1,7,3.7,33,450
4161,RESTPUNE4162,Anna Vada," Viman Nagar, Pune",3.1,7,4.0,2185,250
4162,RESTPUNE4163,Manas Satara," Shivaji Nagar, Pune",3.0,7,3.9,82,600
4163,RESTPUNE4164,Fried Chicken Destination," Kothrud, Pune",3.0,7,3.9,359,400
4164,RESTPUNE4165,Happy Breaks," Kothrud, Pune",3.9,6,0.0,4,300
4165,RESTPUNE4166,Meridian Ice Cream," Wanowrie, Pune",3.8,6,3.9,28,200
4166,RESTPUNE4167,Bhatti," Deccan Rendezvous, Pune",3.8,6,0.0,0,1000
